Ticker Symbol,Period Ending,Earnings Per Share,Estimated Shares Outstanding,Net Income,Total Revenue,Total Assets,Total Liabilities,Current Ratio,Quick Ratio,Operating Margin,Gross Margin,Research and Development,Cash and Cash Equivalents,Capital Expenditures,Common Stocks,Retained Earnings,Treasury Stock,Total Equity,Short-Term Investments,Long-Term Debt,Interest Expense,Net Cash Flow,Net Cash Flow-Operating
SRCL,2014-12-31,3.84,85014583.3333,-0.4754785224358967,-0.5348047199624588,-0.42176345002987176,-0.37088420222074103,120.0,120.0,0.3974648658248241,-0.13690001593482207,-0.3392145448747636,-0.23378114499859992,0.5500230660827777,-0.23539795248213785,-0.41745297900300277,0.4412443650451088,-0.6008681732163357,-0.2812717370597208,-0.5409141918885783,-0.5123225390579096,-0.10940963282852634,-0.6440865177872727
SRCL,2015-12-31,3.02,88425827.8146,-0.5142024333343975,-0.5144258723651084,-0.379472407152056,-0.3384514826870479,130.0,130.0,-0.08686544298189604,-0.17690436573126203,-0.3392145448747636,-0.23159675119237086,0.52940283265527,-0.23539795248213785,-0.4034272202241445,0.4412443650451088,-0.5108906285183947,-0.28146109896934385,-0.30919674782604273,-0.47352901451308127,-0.03149941433953567,-0.6693527799219332
SRE,2012-12-31,3.56,242977528.09,-0.1244512564718806,-0.19896417013871992,0.08066070412062586,0.03962318792937371,87.0,77.0,-0.08686544298189604,-0.6169522134921016,-0.3392145448747636,-0.20115952117771124,-1.5433730882128984,0.5861609227295853,0.3324179339101763,0.4412443650451088,0.30302399277549497,-0.28150311174028914,1.0142694164149864,0.9458780861760023,0.15708888942981683,0.037605678120547596
SRE,2013-12-31,4.1,246097560.976,-0.0305909102442403,-0.15586761044159916,0.09231199944320906,0.04132353523856352,91.0,85.0,-0.08686544298189604,-0.5769478636956616,-0.3392145448747636,-0.17453971522719822,-1.2632326446904152,0.6573380690705389,0.3756347457676989,0.4412443650451088,0.3812673040226398,-0.28150311174028914,0.9600387181422624,1.1713423887436905,0.36198752223161534,-0.06402922079148167
SRE,2014-12-31,4.72,246186440.678,0.06913570762262752,-0.13323007688640826,0.12995584889483025,0.07756869369670141,83.0,75.0,-0.08686544298189604,-0.6569565632885416,-0.3392145448747636,-0.1972352254601909,-1.6652049998489784,0.685141641859974,0.4329585998377807,0.4412443650451088,0.41553916762676113,-0.28150311174028914,1.084906040215593,1.1542617597612896,-0.39693314198087154,0.09971589412234326
SRE,2015-12-31,5.43,248618784.53,0.19167560408649126,-0.1713065977616666,0.1533991934432225,0.09519678416748557,63.0,56.0,0.15529971142146404,-0.4569348143063418,-0.3392145448747636,-0.20711136968261712,-1.6892795692141918,0.7359295014886753,0.5062928272125923,0.4412443650451088,0.4675936019688699,-0.28150311174028914,1.244863814112451,1.1781746403366506,-0.23082599791339406,0.4228627522016158
STX,2013-06-28,4.97,369818913.481,0.5097578885246056,0.02381189229562739,-0.34560467213753243,-0.31415315527858784,207.0,175.0,-0.1675871611163494,-0.7769696126778615,2.0008444427422636,-0.11691797310827437,0.039712230651134266,-0.23571268892611424,-0.8117079737893659,0.4412443650451088,-0.4284324169137229,0.010759642661847193,-0.3515238837812627,-0.007221011041951692,-0.0637242002886263,0.4845386310285737
STX,2014-06-27,4.66,336909871.245,0.3350733552676084,-0.005882110924256913,-0.3417104808149509,-0.2983295150134745,241.0,200.0,-0.3290305973852561,-0.7369652628814215,2.192923424073582,-0.06269728727786819,0.2053160865876022,-0.23571268892611424,-0.9123606003694509,0.4412443650451088,-0.4998860193336362,-0.2693254969735335,-0.17743878512428335,-0.072127401175074,0.8563303402048866,0.27214775253292284
STX,2015-07-03,5.38,323791821.561,0.44718432437284544,-0.00517172807210657,-0.33618979994398196,-0.2954319843947531,238.0,195.0,-0.1675871611163494,-0.7369652628814215,2.4552248286873177,-0.07309667092929711,0.06816399444638646,-0.23571268892611424,-0.9133682462417765,0.4412443650451088,-0.47984021231990487,-0.2778498273102624,-0.14174070642935302,-0.031133891617312545,-0.21889015522591063,0.31080376109348096
STX,2016-07-01,0.83,298795180.723,-0.5266167677389227,-0.1273102197851554,-0.36110324081495515,-0.29834686549622136,157.0,118.0,-1.0555260605953363,-0.9369870118636214,2.2156424433708346,-0.1616549442880064,0.18488917924742113,-0.23571268892611424,-1.0953043065227976,0.4412443650451088,-0.633416959602524,-0.2778498273102624,-0.1455383743756222,-0.07895965276803425,-1.4114797704169615,-0.10920028697460579
